case,分类,说明,round-1,round-2,备注
C17,对账,改本地 state.json → 云端新 state + history 追加 + 时区正确,PASS,—,本轮未跑（不涉及）
C18,对账,删本地 plan 任务 → 全量 digest → mirror=local_missing,PASS,—,本轮未跑（不涉及）
C19,云端,停本地 >90s → sweeper 标 offline 且任务真相一个字节没变,PASS,—,本轮未跑（不涉及）
C20,前端,截图：登录 / 看板 / 机器列表 / 任务详情 ×2（走真实 8790）,PASS,—,round-1/shots/；round-2 另拍 9 张见 round-2/
C21,本地·blocker,read-your-writes：mutation 后立刻回拉 /api/state 读到新值,PASS,—,本轮未跑（不涉及）
C22,云端·major,归档任务不混入 done 列 + 看板与机器页计数自洽,PASS,—,本轮未跑（不涉及）
C23,本地·major,connector 闸门：副实例 enroll 不双份上报,PASS,—,本轮未跑（不涉及）
C24,量化,§9b.1 collect.js 缓存：扫描次数 / P50 / TTL 依据 / 是否看过期数据,PASS,—,本轮未跑（不涉及）
C25,红线,根 package.json 保持零运行时依赖（只 electron/electron-builder）,PASS,PASS,round-2 未加任何依赖：ui.js 是原生 JS；cloud deps 仍 fastify+pg+@fastify/static
C26,隔离,验收全程跑一次性库 scrumws_p1_verify，真实 scrumws 库未被写,PASS,PASS,收尾 DROP；真实库 {au:1 m:6 t:6} 与 round-1 逐字相同、本轮 label 零命中
C27a,隔离,只按 PID 定点收自己起的进程（不按名/路径杀）,PASS,PASS,round-2 只 Stop-Process 24664/5980；杀前逐个核对命令行均为我起的 node
C27b,隔离,用户 8799 桌面 app 全程可用,PASS,观察,round-2 收尾时 8799 不在监听；证据指向用户自己关的（当晚自行重启 4 次 最后 pid=34916 是 electron 我从未按名杀）但无法 100% 自证 → 不写 PASS，见 round-2.md §7
C28,管理页,侧边栏「机器纳管」入口 + #/enroll 路由可达,—,PASS,round-2.md §3①
C29,注册密钥·红线,生成（带 label）→ 明文当场展示 + 「只此一次」复制引导,—,PASS,48 字符 swrk_；库里只剩 sha256（64 位十六进制）
C30,注册密钥,列出：prefix + label + 创建人 + 创建时间 + 最后使用 + 状态,—,PASS,响应体无明文无 hash；lastUsedAt 在 enroll 后前进
C31,注册密钥,撤销：自研 modal 二次确认（danger 档）+ Esc 可取消,—,PASS,文案讲清「不影响已在线机器」
C32,配对码,生成 8 位 + TTL 10min + 倒计时 + 过期即作废 token,—,PASS,实测 H8X7TTH8 · 9:52 后过期
C33,join token·红线,就地拼装 swjt_+base64url(utf8(JSON{v:1 url rk code})),—,PASS,服务端不参与；与桌面端 parseJoinToken 逐字对拍（含中文/特殊字节/畸形串反证）
C34,join token,一键复制 → 真进 Windows 系统剪贴板,—,PASS,有头实跑 PowerShell Get-Clipboard 读回 153 字节逐字相同
C35,红线,明文不进 localStorage / sessionStorage / URL / cookie / 日志,—,PASS,页内实搜零命中 + 源码 grep 零命中
C36,端到端,join token 贴桌面端 8797 → 三项自动填好 → 点连接 → enroll 成功,—,PASS,url/rk/code 逐字还原
C37,端到端,云端机器列表 → 这台机器 online,—,PASS,百部 online lastSeenAt 前进
C38,负例·红线,刷新后拼 join token → 明确提示 + 手动路径 + 不产半成品,—,PASS,round-2/05-negative-no-rk-plaintext.png
C39,自研组件,cloud/public 零原生组件（<select> / alert / confirm / prompt）,—,PASS,静态剥注释断言 + 运行时探针双证；顺带改造掉既有 2 处 <select>
C40,自研组件,下拉：键盘 ↑↓/Enter/Esc/Tab + ARIA + 点外关闭 + 浮层盖出容器,—,PASS,role=listbox / aria-expanded / position:fixed 挂 body
C41,主题,亮暗双主题 token 生效（含下拉浮层暗色不露系统白底）,—,PASS,暗色浮层 oklch(0.21 0.006 285.9)；round-2/02-dropdown-open-dark.png
